Infinite Rebellion,1304,110.43,11.8,286.74,286.74,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Infinite%20Rebellion
幽玄ノ乱,1262,120.05,10.504,280.76,280.76,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E5%B9%BD%E7%8E%84%E3%83%8E%E4%B9%B1
第六天魔王,1396,133.6,10.442,291.81,291.81,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E7%AC%AC%E5%85%AD%E5%A4%A9%E9%AD%94%E7%8E%8B
Central Dogma Pt.1(裏譜面),1259,121.45,10.358,278.76,278.76,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Central%20Dogma%20Pt.1%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
神竜 ～Shinryu～(裏譜面),1365,135.9,10.037,292.5,292.5,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E7%A5%9E%E7%AB%9C%20%EF%BD%9EShinryu%EF%BD%9E%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
モノクロボイス(裏譜面),1305,134.38,9.704,240.0,240.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E3%83%A2%E3%83%8E%E3%82%AF%E3%83%AD%E3%83%9C%E3%82%A4%E3%82%B9%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
赤と白薔薇の魔女,1111,115.81,9.585,196.11,196.11,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E8%B5%A4%E3%81%A8%E7%99%BD%E8%96%94%E8%96%87%E3%81%AE%E9%AD%94%E5%A5%B3
ダンガンノーツ(裏譜面),1167,122.21,9.541,193.31,193.31,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E3%83%80%E3%83%B3%E3%82%AC%E3%83%B3%E3%83%8E%E3%83%BC%E3%83%84%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
憎悪と醜悪の花束(裏譜面),1170,122.92,9.51,0.0,0.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E6%86%8E%E6%82%AA%E3%81%A8%E9%86%9C%E6%82%AA%E3%81%AE%E8%8A%B1%E6%9D%9F%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
The Future of the 太鼓ドラム(裏譜面),1400,147.43,9.489,258.74,258.74,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/The%20Future%20of%20the%20%E5%A4%AA%E9%BC%93%E3%83%89%E3%83%A9%E3%83%A0%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
Vixtory(裏譜面),1240,131.72,9.406,243.0,243.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Vixtory%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
Calamity Fortune(裏譜面),1217,129.6,9.383,200.0,200.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Calamity%20Fortune%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
弧,1138,123.63,9.197,190.0,190.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E5%BC%A7
気焔万丈神楽,1141,125.25,9.102,200.0,200.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E6%B0%97%E7%84%94%E4%B8%87%E4%B8%88%E7%A5%9E%E6%A5%BD
疾風怒濤(裏譜面),1083,120.45,8.983,246.45,246.45,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E7%96%BE%E9%A2%A8%E6%80%92%E6%BF%A4%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
プチポチ,877,98.0,8.939,146.33,146.33,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E3%83%97%E3%83%81%E3%83%9D%E3%83%81
冷凍庫CJ ～嗚呼面太鼓ブラザーズ～,787,88.0,8.932,240.0,240.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E5%86%B7%E5%87%8D%E5%BA%ABCJ%20%EF%BD%9E%E5%97%9A%E5%91%BC%E9%9D%A2%E5%A4%AA%E9%BC%93%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%BA%EF%BD%9E
Rotter Tarmination(裏譜面),943,105.53,8.927,200.0,200.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Rotter%20Tarmination%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
Xevel,1129,126.78,8.898,184.42,184.42,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Xevel
Coquette,1022,115.2,8.863,200.0,200.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Coquette
!!!カオスタイム!!!,987,112.12,8.794,240.14,240.14,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%21%21%21%E3%82%AB%E3%82%AA%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%A0%21%21%21
Silent Jealousy(裏譜面),1408,160.0,8.794,183.0,183.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Silent%20Jealousy%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
LΔchesis(裏譜面),1024,117.65,8.695,364.93,364.93,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/L%CE%94chesis%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
Behemoth,999,114.79,8.694,186.08,186.08,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Behemoth
そして勇者は眠りにつく(裏譜面),1316,151.75,8.666,214.89,214.89,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E3%81%9D%E3%81%97%E3%81%A6%E5%8B%87%E8%80%85%E3%81%AF%E7%9C%A0%E3%82%8A%E3%81%AB%E3%81%A4%E3%81%8F%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
初音ミクの消失 ‐劇場版‐(裏譜面),999,115.23,8.661,203.95,203.95,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF%E3%81%AE%E6%B6%88%E5%A4%B1%E2%80%90%E5%8A%87%E5%A0%B4%E7%89%88%E2%80%90%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
星屑ストラック(裏譜面),1044,120.55,8.652,220.0,220.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E6%98%9F%E5%B1%91%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
或ル不和,996,115.2,8.637,200.0,200.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/%E6%88%96%E3%83%AB%E4%B8%8D%E5%92%8C
Clotho クロートー,983,114.16,8.602,185.0,185.0,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Clotho%20%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%88%E3%83%BC
Black Rose Apostle(裏譜面),915,106.32,8.596,202.59,202.59,https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E3%81%8A%E3%81%AB/Black%20Rose%20Apostle%28%E8%A3%8F%E8%AD%9C%E9%9D%A2%29
